ranking,tier,school,nickname,region,probation
338,3,South Carolina State,Bulldogs,Southeast,
336,3,South Dakota,Coyotes,Great Plains,
277,3,South Dakota State,Jackrabbits,Great Plains,
233,3,South Florida,Bulls,Southeast,
167,2,Southern,Jaguars,Southeast,
157,2,Southern California,Trojans,West,
286,3,Southern Illinois,Salukis,Midwest,
42,2,Southern Methodist,Mustangs,Great Plains,
265,3,Southern Mississippi,Golden Eagles,Southeast,
252,3,Southern Utah,Thunderbirds,West,
329,3,St. Bonaventure,Bonnies,Atlantic East,
290,3,St. Francis (NY),Terriers,Atlantic East,
131,2,St. Johns,Red Storm,Atlantic East,
158,2,Stanford,Cardinal,West,
304,3,Stephen F. Austin,Lumberjacks,Great Plains,
54,2,Stetson,Hatters,Southeast,
326,3,Stony Brook,Seawolves,Atlantic East,
115,2,Syracuse,Orange,Atlantic East,
87,2,Tarleton State,Texans,Great Plains,
174,2,Temple,Owls,Atlantic East,
1,1,Tennessee,Volunteers,Southeast,
220,3,Tennessee State,Tigers,Southeast,
343,3,Tennessee Tech,Golden Eagles,Southeast,
344,3,Tennessee-Martin,Skyhawks,Southeast,
47,2,Texas,Longhorns,Great Plains,
123,2,Texas A&M,Aggies,Great Plains,
166,2,Texas A&M-CC,Islanders,Great Plains,
137,2,Texas Christian,Horned Frogs,Great Plains,
350,3,Texas Southern,Tigers,Great Plains,
351,3,Texas State,Bobcats,Great Plains,
31,1,Texas Tech,Red Raiders,Great Plains,
314,3,Texas-Arlington,Mavericks,Great Plains,
334,3,Texas-El Paso,Miners,Great Plains,
321,3,Texas-Rio Grande,Vaqueros,Great Plains,
191,2,Texas-San Antonio,Roadrunners,Great Plains,
273,3,Toledo,Rockets,Midwest,
187,2,Towson,Tigers,Atlantic East,
170,2,Troy,Trojans,Southeast,
234,3,Tulane,Green Wave,Southeast,
175,2,Tulsa,Golden Hurricanes,Great Plains,
236,3,UC San Diego,Tritons,West,
138,2,UC-Davis,Aggies,West,
118,2,UC-Irvine,Anteaters,West,
183,2,UC-Riverside,Highlanders,West,
184,2,UC-Santa Barbara,Gauchos,West,
33,1,UCLA,Bruins,West,
